created_at,date,description
"2018-12-30 20:00:00","2018-01-01","New Year's Day"
"2018-12-30 20:00:00","2018-03-30","Good Friday"
"2018-12-30 20:00:00","2018-04-02","Easter Monday"
"2018-12-30 20:00:00","2018-05-01","May Day"
"2018-12-30 20:00:00","2018-05-08","Liberation Day"
"2018-12-30 20:00:00","2018-07-05","St Cyril and St Methodius Day"
"2018-12-30 20:00:00","2018-07-06","Jan Hus Day"
"2018-12-30 20:00:00","2018-09-28","Statehood Day"
"2018-12-30 20:00:00","2018-10-28","Independence Day"
"2018-12-30 20:00:00","2018-11-17","Freedom and Democracy Day"
"2018-12-30 20:00:00","2018-12-24","Christmas Eve"
"2018-12-30 20:00:00","2018-12-25","Christmas Day"
"2018-12-30 20:00:00","2018-12-26","2nd Day of Christmas"
