id,created_at,date,description
1,"2018-12-30 20:00:00","2019-01-01","New Year’s Day"
2,"2018-12-30 20:00:00","2019-01-21","Birthday of Martin Luther King, Jr."
3,"2018-12-30 20:00:00","2019-02-18","Washington’s Birthday"
4,"2018-12-30 20:00:00","2019-05-27","Memorial Day"
5,"2018-12-30 20:00:00","2019-07-04","Independence Day"
6,"2018-12-30 20:00:00","2019-09-02","Labor Day"
7,"2018-12-30 20:00:00","2019-10-14","Columbus Day"
8,"2018-12-30 20:00:00","2019-11-11","Veterans Day"
9,"2018-12-30 20:00:00","2019-11-28","Thanksgiving Day"
10,"2018-12-30 20:00:00","2019-12-25","Christmas Day"
