created_at,date,description
2018-12-30 21:00:00,0001-01-01,New Year’s Day
2018-12-30 21:00:00,0001-01-01,"Birthday of Martin Luther King, Jr."
2018-12-30 21:00:00,0001-01-01,Washington’s Birthday
2018-12-30 21:00:00,0001-01-01,Memorial Day
2018-12-30 21:00:00,0001-01-01,Independence Day
2018-12-30 21:00:00,0001-01-01,Labor Day
2018-12-30 21:00:00,0001-01-01,Columbus Day
2018-12-30 21:00:00,0001-01-01,Veterans Day
2018-12-30 21:00:00,0001-01-01,Thanksgiving Day
2018-12-30 21:00:00,0001-01-01,Christmas Day
