created_at,name,rate
2019-01-14 01:00:00,_Vacation,Vacation
2019-01-14 01:00:00,_Unpaid Leave,Vacation Unpaid
2019-01-14 01:00:00,_Sick Day,Vacation Sick
2019-01-14 01:00:00,_Personal Day,Vacation Personal
2019-01-14 01:00:00,_Public Holiday,Public Holiday
2019-01-14 01:00:00,_Sick,Sick
2019-01-14 01:00:00,_Travel Time,Off-site
2019-01-14 01:00:00,_Training,Off-site
2019-01-14 01:00:00,_People mgmt & hiring,Off-site
2019-01-14 01:00:00,_Marketing and Sales,Off-site
2019-01-14 01:00:00,_Administration,Off-site
2019-01-14 01:00:00,_Other internal,Off-site
2019-01-14 01:00:00,_Project management,Off-site
2019-01-14 01:00:00,Workbench Oper. Improv.,Off-site
2019-01-14 01:00:00,Workbench Designs,Off-site
2019-01-14 01:00:00,OmniHealth,Off-site
2019-01-14 01:00:00,OmniGen 3.x server,Off-site
2019-01-14 01:00:00,Ad hoc field support,Off-site
2019-01-14 01:00:00,Servus,Off-site
2019-01-14 01:00:00,Target,Off-site
2019-01-14 01:00:00,Voya,Off-site
2019-01-14 01:00:00,TrialCard,Off-site
2019-01-14 01:00:00,St Lukes,Off-site
2019-01-14 01:00:00,Michigan State Police,Off-site
2019-01-14 01:00:00,Floyd,Off-site
2019-01-14 01:00:00,CCNC,Off-site
2019-01-14 01:00:00,BCBST,Off-site
2019-01-14 01:00:00,Bank United,Off-site
