created_at,date,description
"2019-01-01 00:00:00","2019-01-01","New Year's Day"
"2019-01-01 00:00:00","2019-04-19","Good Friday"
"2019-01-01 00:00:00","2019-04-22","Easter Monday"
"2019-01-01 00:00:00","2019-05-01","May Day"
"2019-01-01 00:00:00","2019-05-08","Liberation Day"
"2019-01-01 00:00:00","2019-07-05","St Cyril and St Methodius Day"
"2019-01-01 00:00:00","2019-07-06","Jan Hus Day"
"2019-01-01 00:00:00","2019-09-28","Statehood Day"
"2019-01-01 00:00:00","2019-10-28","Independence Day"
"2019-01-01 00:00:00","2019-11-17","Freedom and Democracy Day"
"2019-01-01 00:00:00","2019-12-24","Christmas Eve"
"2019-01-01 00:00:00","2019-12-25","Christmas Day"
"2019-01-01 00:00:00","2019-12-26","2nd Day of Christmas"
