created_at,date,description
"2018-12-30 20:00:00","2019-01-01","New Year’s Day"
"2018-12-30 20:00:00","2019-01-21","Birthday of Martin Luther King, Jr."
"2018-12-30 20:00:00","2019-02-18","Washington’s Birthday"
"2018-12-30 20:00:00","2019-05-27","Memorial Day"
"2018-12-30 20:00:00","2019-07-04","Independence Day"
"2018-12-30 20:00:00","2019-09-02","Labor Day"
"2018-12-30 20:00:00","2019-10-14","Columbus Day"
"2018-12-30 20:00:00","2019-11-11","Veterans Day"
"2018-12-30 20:00:00","2019-11-28","Thanksgiving Day"
"2018-12-30 20:00:00","2019-12-25","Christmas Day"
